Fecha,ABC.A,BNC,BPV,BVCC,BVL,CIE,CRM.A,DOM,EFE,ENV,FVI.B,GZL,MPA,MVZ.A,MVZ.B,RST,RST.B,TDV.D,TPG,FVI.A,PGR,PTN,BOU,CGQ,FFV.B,FNC,ICP.B,SVS,CCR,PIV.B,PER,ALZ.B,MTC.B,IMP.B,ARC.B,GZL.A,RFM,ARC.A,VNA.B,IMP.A,IVC.A,IVC.B,GMC.B
2024-01-02,0,449.2,1962.93,255,206,700,0,110,65,37,247,0,200,19,10,2781,373,533,500,0,750,211,0,0,0,0,155,39,0,3,0,0,100,0,0,0,0,0,0,0,0,0,0
2024-01-03,0,1291.2,1570.344,432,600,1000,4,295,335,657,312,10,32837,66,2,52,187,4205,600,0,610,10,0,0,0,0,100,0,5,0,0,88,0,0,0,0,0,0,0,0,0,0,0
2024-01-04,0,947.6,25511.435999999998,420,3346,12000,0,0,0,17,19,0,2211,35,105,404,643,410,0,0,90,5,0,0,0,0,21,105,4,136,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-05,189,1279.6,2641.638,1729,210,5500,40,20,36,161,965,30,610,20,14,464,538,1611,2500,0,0,735,0,0,0,0,0,263,0,30,0,18,0,0,0,0,0,0,0,0,0,0,0
2024-01-08,0,623.6,5123.58,4942,295,0,0,50,17,48,1106,0,100,25,0,10629,1827,882,1100,0,1200,507,0,0,0,0,0,5,0,20,0,71,0,0,0,0,0,0,0,0,0,0,0
2024-01-09,0,692.2,1224.336,4584,750,0,50,44,170,106,1385,0,81,22,389,1187,314,3401,1500,26,190,15,0,0,0,10,0,51,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
2024-01-10,52,505,4205.3279999999995,4968,280,0,1349,0,250,100,2544,2,300,76,39,674,545,544,2100,0,0,150,0,0,0,0,203,0,7,0,0,0,100,0,0,0,0,0,0,0,0,0,0
2024-01-11,12,8173.4,1111.218,38392,156,0,1309,355,379,2283,452,37,230,54,200,6190,7,321,100,0,80,110,0,0,0,1,12,33,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
2024-01-12,3,651.6,5642.592,858,155,19500,330,771,44,28,20834,100,410,0,24,763,993,8313,9700,0,100,567,0,1,0,202,1,284,1,1,0,0,0,0,37,0,0,0,15,0,0,0,0
2024-01-15,0,472,53305.193999999996,5876,7016,200,311,698,461,62,10,1,0,3177,1990,691,1083,168,6100,2,20,112,0,0,0,1,4,19,3,15,0,0,7,0,0,0,0,0,0,0,0,0,0
2024-01-16,20,4077.2,47862.222,2466,2215,900,183,857,175,35,2153,0,247,92,829,212,326,1326,0,0,950,622,0,0,0,0,52,0,1,0,0,38,93,0,0,0,0,0,0,0,0,0,0
