Fecha,ABC.A,BNC,BPV,BVCC,BVL,CIE,CRM.A,DOM,EFE,ENV,FVI.B,GZL,MPA,MVZ.A,MVZ.B,RST,RST.B,TDV.D,TPG,FVI.A,PGR,PTN,BOU,CGQ,FFV.B,FNC,ICP.B,SVS,CCR,PIV.B,PER,ALZ.B,MTC.B,IMP.B,ARC.B,GZL.A,RFM,ARC.A,VNA.B,IMP.A,IVC.A,IVC.B,GMC.B
2024-01-02,0,12,9,4,4,1,0,2,2,2,3,0,3,2,1,8,5,4,1,0,2,3,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2024-01-03,0,15,6,4,7,1,1,3,7,7,3,1,10,5,1,4,5,14,2,0,4,1,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2024-01-04,0,19,5,6,10,2,0,0,0,3,1,0,5,3,5,5,7,3,0,0,1,1,0,0,0,0,3,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-05,8,18,10,9,5,3,2,1,2,1,6,2,2,1,1,7,4,12,2,0,0,4,0,0,0,0,0,6,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
2024-01-08,0,13,7,7,4,0,0,2,2,1,6,0,1,1,0,9,6,10,2,0,3,4,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
2024-01-09,0,20,4,6,7,0,1,2,3,2,8,0,2,3,3,8,5,18,2,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2024-01-10,3,22,5,13,7,0,6,0,6,3,9,1,2,4,2,5,6,7,2,0,0,2,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024-01-11,3,23,5,10,4,0,1,2,7,4,3,2,3,3,1,9,1,6,1,0,3,3,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2024-01-12,2,9,9,12,6,3,1,3,2,2,20,1,5,0,3,11,8,7,5,0,2,3,0,1,0,3,1,2,1,1,0,0,0,0,1,0,0,0,4,0,0,0,0
2024-01-15,0,16,16,10,8,1,4,7,7,2,2,1,0,3,5,9,9,6,3,1,1,2,0,0,0,1,2,4,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0
2024-01-16,3,19,6,8,11,2,3,4,7,3,6,0,4,3,4,5,6,10,0,0,5,5,0,0,0,0,2,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0
2024-01-17,1,20,11,17,2,2,2,6,7,0,7,0,1,7,3,9,7,12,1,0,2,2,0,1,0,2,2,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
2024-01-18,4,25,9,16,4,4,7,2,5,2,11,0,5,9,4,6,12,14,14,1,5,4,0,1,0,3,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2024-01-19,3,20,24,8,13,1,6,6,6,3,6,0,4,3,3,8,11,5,1,2,1,3,0,0,0,0,0,4,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0
2024-01-22,0,22,13,7,0,0,3,1,9,0,11,0,3,3,1,7,5,5,2,0,2,5,0,0,0,0,1,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2024-01-23,1,17,12,16,7,0,0,0,3,1,4,0,2,0,3,7,7,4,0,0,0,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-24,3,14,9,14,7,2,4,3,5,6,18,1,0,2,3,6,7,17,7,0,4,3,0,0,0,0,0,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-25,2,29,5,12,8,0,6,2,2,3,6,0,1,1,0,5,4,8,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2024-01-26,4,27,15,11,10,2,3,6,5,4,13,2,5,3,5,8,10,14,6,4,7,6,0,2,0,2,0,5,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
2024-01-29,4,38,11,8,3,4,4,3,1,1,4,0,0,6,5,9,16,13,4,0,8,7,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
