Fecha,TC,IBC,IF,II,ABC.A,ALZ.B,ARC.A,ARC.B,BNC,BPV,BVCC,BVL,CCR,CGQ,CIE,CRM.A,DOM,EFE,ENV,FVI.A,FVI.B,FFV.B,FNC,GMC.B,GZL,ICP.B,IMP.B,IVC.A,IVC.B,MPA,MTC.B,MVZ.A,MVZ.B,PER,PGR,PIV.B,PTN,RFM,RST,RST.B,SVS,TDV.D,TPG,VNA.B,BOU
2024-01-02,35.96,58.29,105.23,28.86,38,18,40,42,19.95,2.7,6,7.85,560,6.89,0.15,5.1,16.21,4.9,18.99,39.5,7.99,94,14,NA,28.99,8.3,155.39,NA,NA,2.79,17.5,59,52.99,8,0.7,390,3.89,7,8.8,4,3.99,4,0.34,61.17,0
2024-01-03,35.87,58.06,104.68,28.86,38,18,40,42,19.5,2.7,6,7.7,620,6.89,0.15,5.1,16.21,4.99,18.99,39.5,7.9,94,14,NA,28.99,8,155.39,NA,NA,2.8,17.5,59,52.99,8,0.8,390,3.89,7,8.8,3.8,3.99,4,0.34,61.17,0
2024-01-04,35.95,57.53,103.23,28.99,38,18,40,42,19.4,2.69,6.2,7.95,500,6.89,0.15,5.1,16.21,4.99,18.99,39.5,7.9,94,14,NA,28.99,8,155.39,NA,NA,2.8,17.5,56.5,50,8,0.8,370,3.89,7,8.8,3.8,3.99,4.48,0.34,61.17,0
2024-01-05,36.03,57.16,102.73,28.69,38,18,40,42,18.95,2.68,6,7.7,500,6.89,0.15,5.1,16.21,4.99,18,39.5,7.4,94,14,NA,28,8,155.39,NA,NA,2.8,17.5,56.95,51,8,0.8,370,3.97,7,8.8,3.92,4.77,4.47,0.34,61.17,0
2024-01-08,36.01,56.76,101.94,28.53,38,22,40,42,18.45,2.66,6,7.68,500,6.89,0.15,5.1,15,4.99,18,39.5,7,94,14,NA,28,8,155.39,NA,NA,2.8,17.5,56.95,51,8,0.8,370,3.97,7,8.8,3.8,4.77,4.47,0.34,61.17,0
2024-01-09,35.94,56.04,101.19,27.73,38,22,40,42,18,2.66,6,7.6,500,6.89,0.15,5.1,16,5.69,18,39.5,7,94,14,NA,28,8,155.39,NA,NA,2.8,17.5,56.95,50,8,0.8,370,3.97,7,8,3.79,4.77,4.45,0.33,61.17,0
2024-01-10,35.92,56.14,101.07,28.03,39,22,40,42,17.8,2.65,6.05,7.5,599,6.89,0.15,4.1,16,5.95,18.68,39.5,6.8,94,14,NA,28,8,155.39,NA,NA,2.8,17.51,56.5,49.5,8,0.8,370,3.97,7,8.5,3.7,4.77,4.69,0.33,61.17,0
2024-01-11,35.94,55.76,100,28.16,38,22,40,42,17.5,2.63,6.04,7.49,599,6.89,0.15,4.1,16,5.8,18.7,39.5,6.8,94,14,NA,27.99,8,155.39,NA,NA,2.79,17.51,56.5,49.5,8,0.8,370,3.96,7,8.65,3.7,4.77,4.54,0.33,61.17,0
2024-01-12,35.96,55.9,99.86,28.54,38,22,40,42,17.5,2.62,6,7.48,698,6.89,0.15,4.85,16,5.8,18.7,39.5,6.8,94,14.2,NA,27.99,8,155.39,NA,NA,2.8,17.51,56.5,49.5,8,0.8,370,3.9,7,8.5,3.77,5,4.54,0.33,79.52,0
2024-01-15,36.04,56.6,101.85,28.3,38,22,40,42,18.5,2.68,6,7.94,698,6.89,0.15,4.5,16.01,6.65,18.7,39.5,6.8,94,14.2,NA,27.99,8,155.39,NA,NA,2.8,17.51,56.5,50,8,0.8,370,3.79,7,8.5,3.77,5,4.45,0.27,79.52,0
2024-01-16,35.97,56.76,102.29,28.25,39,24.95,40,42,18.5,2.68,6.2,7.01,562,6.89,0.15,4.42,16,7.5,18.7,39.5,7,94,14.2,NA,27.99,8,155.39,NA,NA,2.8,17.51,56.5,49.5,8,0.8,370,3.79,7,8.49,3.77,5,4.42,0.27,79.52,0
2024-01-17,36.05,56.79,102.27,28.32,39,24.95,40,42,18.35,2.71,6.09,7.01,562,6.89,0.15,4.29,16,8.9,18.7,39.5,6.8,94,14.2,NA,27.99,8,155.39,NA,NA,2.8,17.51,56,49.5,8,0.8,442.99,3.7,7,8.49,3.74,5.7,4.3,0.27,79.52,0
2024-01-18,36.08,56.62,103.27,27.17,42.4,24.95,40,42,18,2.71,6.09,7.5,562,6.89,0.15,4,16,8.92,18,39.5,6.8,94,14.2,NA,27.99,8,155.39,NA,NA,2.79,17.51,55.99,49.5,8,0.79,442.99,3.6,7,8,3.73,5.68,4,0.32,79.52,0
2024-01-19,36.14,57.58,104.97,27.68,45,24.95,40,42,18,2.77,6.3,7.5,670,6.89,0.15,3.99,16,9.6,18.69,45.9,6.8,94,14.2,NA,27.99,8,155.39,NA,NA,2.75,17.51,55,49.5,8,0.79,442.99,3.6,7,8,3.77,5.68,4.3,0.32,79.52,0
2024-01-22,36.15,57.95,105.99,27.57,45,24.95,40,42,19,2.68,6.5,7.5,650,6.89,0.15,3.99,16,9,18.69,45.9,6.8,94,14.2,NA,27.99,8,155.39,NA,NA,2.7,17.51,57.95,49.45,8,0.79,442.99,3.69,7,7.95,3.77,5.68,4.2,0.32,79.52,0
2024-01-23,36.11,57.98,106.05,27.57,45,24.95,40,42,18.85,2.7,6.6,7.5,650,6.89,0.15,3.99,16,8.99,18.67,45.9,6.75,94,14.2,NA,27.99,8,155.39,NA,NA,2.7,17.51,57.95,49,8,0.79,442.99,3.64,7,7.95,3.7,5.68,4.25,0.32,79.52,0
