Fecha,TC,IBC,IF,II,ABC.A,ALZ.B,ARC.A,ARC.B,BNC,BPV,BVCC,BVL,CCR,CGQ,CIE,CRM.A,DOM,EFE,ENV,FVI.A,FVI.B,FFV.B,FNC,GMC.B,GZL,ICP.B,IMP.B,IVC.A,IVC.B,MPA,MTC.B,MVZ.A,MVZ.B,PER,PGR,PIV.B,PTN,RFM,RST,RST.B,SVS,TDV.D,TPG,VNA.B,BOU
2024-01-02,35.96,58.29,105.23,28.86,1.0567,0.5006,1.1123,1.168,0.5548,0.075,0.1669,0.2183,15.5729,0.1916,0.0042,0.1418,0.4508,0.1363,0.5281,1.0984,0.2222,2.614,0.3893,NA,0.8062,0.2308,4.3212,NA,NA,0.0776,0.4867,1.6407,1.4736,0.2225,0.0195,10.8454,0.1082,0.1947,0.2447,0.1112,0.111,0.1112,0.0095,1.7011,0
2024-01-03,35.87,58.06,104.68,28.86,1.0594,0.5018,1.1151,1.1709,0.5436,0.0752,0.1673,0.2147,17.2846,0.1921,0.0042,0.1422,0.4519,0.1391,0.5294,1.1012,0.2202,2.6206,0.3903,NA,0.8082,0.223,4.332,NA,NA,0.0781,0.4879,1.6448,1.4773,0.223,0.0223,10.8726,0.1084,0.1951,0.2453,0.1059,0.1112,0.1115,0.0095,1.7053,0
2024-01-04,35.95,57.53,103.23,28.99,1.057,0.5007,1.1127,1.1683,0.5396,0.0748,0.1725,0.2211,13.9082,0.1917,0.0042,0.1419,0.4509,0.1388,0.5282,1.0987,0.2197,2.6147,0.3894,NA,0.8064,0.2225,4.3224,NA,NA,0.0779,0.4868,1.5716,1.3908,0.2225,0.0223,10.2921,0.1082,0.1947,0.2448,0.1057,0.111,0.1246,0.0095,1.7015,0
2024-01-05,36.03,57.16,102.73,28.69,1.0547,0.4996,1.1102,1.1657,0.526,0.0742,0.1665,0.2137,13.8773,0.1912,0.0042,0.1415,0.4499,0.1385,0.4996,1.0963,0.2054,2.6089,0.3886,NA,0.7771,0.222,4.3128,NA,NA,0.0777,0.4857,1.5806,1.4155,0.222,0.0222,10.2692,0.1102,0.1943,0.2442,0.1088,0.1324,0.1241,0.0094,1.6978,0
2024-01-08,36.01,56.76,101.94,28.53,1.0553,0.6109,1.1108,1.1663,0.5124,0.0739,0.1666,0.2133,13.885,0.1913,0.0042,0.1416,0.4166,0.1386,0.4999,1.0969,0.1944,2.6104,0.3888,NA,0.7776,0.2222,4.3152,NA,NA,0.0778,0.486,1.5815,1.4163,0.2222,0.0222,10.2749,0.1102,0.1944,0.2444,0.1055,0.1325,0.1241,0.0094,1.6987,0
2024-01-09,35.94,56.04,101.19,27.73,1.0573,0.6121,1.113,1.1686,0.5008,0.074,0.1669,0.2115,13.9121,0.1917,0.0042,0.1419,0.4452,0.1583,0.5008,1.0991,0.1948,2.6155,0.3895,NA,0.7791,0.2226,4.3236,NA,NA,0.0779,0.4869,1.5846,1.3912,0.2226,0.0222,10.2949,0.1105,0.1948,0.2226,0.1055,0.1327,0.1238,0.0093,1.702,0
2024-01-10,35.92,56.14,101.07,28.03,1.0857,0.6125,1.1136,1.1693,0.4955,0.0738,0.1684,0.2088,16.6759,0.1918,0.0042,0.1141,0.4454,0.1656,0.52,1.0997,0.1893,2.6169,0.3898,NA,0.7795,0.2227,4.326,NA,NA,0.078,0.4875,1.5729,1.3781,0.2227,0.0222,10.3007,0.1105,0.1949,0.2366,0.103,0.1328,0.1306,0.0093,1.703,0
2024-01-11,35.94,55.76,100,28.16,1.0573,0.6121,1.113,1.1686,0.4869,0.0732,0.1681,0.2084,16.6667,0.1917,0.0042,0.1141,0.4452,0.1614,0.5203,1.0991,0.1892,2.6155,0.3895,NA,0.7788,0.2226,4.3236,NA,NA,0.0776,0.4872,1.5721,1.3773,0.2226,0.0222,10.2949,0.1102,0.1948,0.2407,0.1029,0.1327,0.1263,0.0093,1.702,0
2024-01-12,35.96,55.9,99.86,28.54,1.0567,0.6118,1.1123,1.168,0.4867,0.0729,0.1669,0.208,19.4105,0.1916,0.0042,0.1349,0.4449,0.1613,0.52,1.0984,0.1891,2.614,0.3949,NA,0.7784,0.2225,4.3212,NA,NA,0.0779,0.4869,1.5712,1.3765,0.2225,0.0222,10.2892,0.1085,0.1947,0.2364,0.1048,0.139,0.1263,0.0093,2.2113,0
2024-01-15,36.04,56.6,101.85,28.3,1.0544,0.6104,1.1099,1.1654,0.5133,0.0742,0.1665,0.2203,19.3674,0.1912,0.0042,0.1249,0.4442,0.1845,0.5189,1.096,0.1887,2.6082,0.394,NA,0.7766,0.222,4.3116,NA,NA,0.0777,0.4858,1.5677,1.3873,0.222,0.0221,10.2664,0.1052,0.1942,0.2358,0.1046,0.1387,0.1235,0.0075,2.2064,0
2024-01-16,35.97,56.76,102.29,28.25,1.0842,0.6936,1.112,1.1676,0.5143,0.0744,0.1724,0.1949,15.6241,0.1915,0.0042,0.1229,0.4448,0.2085,0.5199,1.0981,0.1946,2.6133,0.3948,NA,0.7781,0.2224,4.32,NA,NA,0.0778,0.4868,1.5708,1.3761,0.2224,0.0221,10.2863,0.1054,0.1946,0.236,0.1048,0.139,0.1229,0.0075,2.2107,0
2024-01-17,36.05,56.79,102.27,28.32,1.0818,0.6921,1.1096,1.165,0.509,0.075,0.1689,0.1945,15.5895,0.1911,0.0042,0.119,0.4438,0.2469,0.5187,1.0957,0.1886,2.6075,0.3939,NA,0.7764,0.2219,4.3104,NA,NA,0.0777,0.4857,1.5534,1.3731,0.2219,0.0221,12.2882,0.1026,0.1942,0.2355,0.1037,0.1581,0.1193,0.0075,2.2058,0
2024-01-18,36.08,56.62,103.27,27.17,1.1752,0.6915,1.1086,1.1641,0.4989,0.075,0.1688,0.2079,15.5765,0.191,0.0042,0.1109,0.4435,0.2472,0.4989,1.0948,0.1885,2.6053,0.3936,NA,0.7758,0.2217,4.3068,NA,NA,0.0773,0.4853,1.5518,1.372,0.2217,0.022,12.278,0.0998,0.194,0.2217,0.1034,0.1574,0.1109,0.0089,2.204,0
2024-01-19,36.14,57.58,104.97,27.68,1.2452,0.6904,1.1068,1.1621,0.4981,0.0766,0.1743,0.2075,18.539,0.1906,0.0042,0.1104,0.4427,0.2656,0.5172,1.2701,0.1882,2.601,0.3929,NA,0.7745,0.2214,4.2997,NA,NA,0.0761,0.4845,1.5219,1.3697,0.2214,0.022,12.2576,0.0996,0.1937,0.2214,0.1043,0.1572,0.119,0.0089,2.2003,0
2024-01-22,36.15,57.95,105.99,27.57,1.2448,0.6902,1.1065,1.1618,0.5256,0.074,0.1798,0.2075,17.9806,0.1906,0.0041,0.1104,0.4426,0.249,0.517,1.2697,0.1881,2.6003,0.3928,NA,0.7743,0.2213,4.2985,NA,NA,0.0747,0.4844,1.603,1.3679,0.2213,0.022,12.2542,0.1021,0.1936,0.2199,0.1043,0.1571,0.1162,0.0089,2.1997,0
2024-01-23,36.11,57.98,106.05,27.57,1.2462,0.6909,1.1077,1.1631,0.522,0.0747,0.1828,0.2077,18.0006,0.1908,0.0042,0.1105,0.4431,0.249,0.517,1.2711,0.1869,2.6032,0.3932,NA,0.7751,0.2215,4.3032,NA,NA,0.0748,0.4849,1.6048,1.357,0.2215,0.022,12.2678,0.1008,0.1939,0.2202,0.1025,0.1573,0.1177,0.0089,2.2022,0
2024-01-24,36.13,57.54,105.23,27.37,1.2455,0.6906,1.1071,1.1625,0.5065,0.0745,0.1799,0.21560000000000001,17.437,0.1907,0.0042,0.1052,0.429,0.2463,0.5167,1.2704,0.1882,2.6017,0.393,NA,0.7747,0.2214,4.3009,NA,NA,0.0747,0.4846,1.6039,1.3562,0.2214,0.022,10.7944,0.1005,0.1937,0.2187,0.1024,0.155,0.1218,0.009,2.2009,0
2024-01-25,36.12,56.84,103.65,27.3,1.2458,0.6908,1.1074,1.1628,0.4914,0.074,0.18,0.2007,17.4419,0.1908,0.0042,0.1049,0.4291,0.2464,0.5122,1.2708,0.1883,2.6024,0.3931,NA,0.7749,0.2215,4.302,NA,NA,0.0748,0.4848,1.5352,1.3566,0.2215,0.022,10.7973,0.1005,0.1938,0.2187,0.1022,0.155,0.1232,0.009,2.2016,0
2024-01-26,36.12,55.03,99.9,26.79,1.1074,0.6908,1.1074,1.1628,0.4707,0.0724,0.18,0.2074,17.4419,0.1908,0.0042,0.1049,0.3876,0.2489,0.4983,1.2708,0.191,2.6024,0.3931,NA,0.7749,0.2215,4.302,NA,NA,0.0748,0.4848,1.5352,1.3563,0.2215,0.022,12.8738,0.0983,0.1938,0.2159,0.1002,0.155,0.1204,0.009,2.2016,0
2024-01-29,36.2,54.14,97.34,27.14,1.105,0.6892,1.105,1.1602,0.4489,0.071,0.1793,0.2069,17.4033,0.1903,0.0041,0.1047,0.3867,0.2483,0.5108,1.268,0.192,2.5967,0.3923,NA,0.7732,0.221,4.2925,NA,NA,0.0746,0.4837,1.4365,1.3398,0.221,0.0219,12.8453,0.0989,0.1934,0.2155,0.0992,0.1655,0.1185,0.0102,2.1967,0
2024-01-30,36.14,54.24,97.42,27.26,1.1068,0.6904,1.1068,1.1621,0.4621,0.0707,0.1796,0.2072,17.4322,0.1906,0.0042,0.1038,0.4151,0.2476,0.5116,1.2687,0.1882,2.601,0.3929,NA,0.7745,0.2214,4.2997,NA,NA,0.0747,0.4845,1.425,1.3271,0.2214,0.0219,12.4516,0.0991,0.1937,0.2186,0.0993,0.1646,0.1162,0.0102,2.2003,0
2024-01-31,36.2,53.53,96.22,26.84,1.105,0.6892,1.105,1.1602,0.4489,0.0702,0.1793,0.2072,17.4033,0.2265,0.0041,0.1033,0.4157,0.2453,0.4898,1.1602,0.1873,2.5967,0.3923,NA,0.7732,0.221,5.1105,NA,NA,0.0729,0.4837,1.395,1.2983,0.221,0.0218,12.4309,0.0989,0.1934,0.2182,0.0939,0.1644,0.1218,0.009,2.1967,0
2024-02-01,36.14,53.25,95.45,26.93,1.1068,0.6904,1.1068,1.1621,0.4566,0.0686,0.1796,0.2048,17.4322,0.2269,0.0042,0.1035,0.4427,0.2463,0.4939,1.1621,0.1873,2.601,0.3929,NA,0.7745,0.2214,5.119,NA,NA,0.073,0.4845,1.3766,1.2867,0.2214,0.0219,12.8666,0.0991,0.1937,0.2172,0.098,0.1646,0.1212,0.0091,2.2003,0
