Fecha,ABC.A,BNC,BPV,BVCC,BVL,CIE,CRM.A,DOM,EFE,ENV,FVI.B,GZL,MPA,MVZ.A,MVZ.B,RST,RST.B,TDV.D,TPG,FVI.A,PGR,PTN,BOU,CGQ,FFV.B,FNC,ICP.B,SVS,CCR,PIV.B,PER,ALZ.B,MTC.B,IMP.B,ARC.B,GZL.A,RFM,ARC.A,VNA.B,IMP.A,IVC.A,IVC.B,GMC.B
2024-01-02,0,8961.54,5295.75,1592,1619.6,105,0,1783.1,318.5,702.63,1965.3,0,504,1071,529.9,24472.8,1492,2159,170,0,525,781.79,0,0,0,0,1286.5,159.9,0,1170,0,0,1750,0,0,0,0,0,0,0,0,0,0
2024-01-03,0,24657.2,4093.7,2642,4582.25,140,20,4781.95,1675.85,12145.43,2466.28,289.9,75733.04,3891.65,105.96,441.6,669.7,16820,200.95,0,478,38.8,0,0,0,0,800,0,2860,0,0,1584,0,0,0,0,0,0,0,0,0,0,0
2024-01-04,0,18147.09,63495.6,2604,25375.32,1800,0,0,0,311.77,150.1,0,6190.3,1935,5162,3555.2,2454.02,1838,0,0,72,19.85,0,0,0,0,174.3,428.6,2000,50320,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-05,7182,23850.14,7080.53,10457.2,1631.4,819,200,324,199.95,2898,7150.18,841.98,1708,1139,714,4083.2,2115.47,7101.33,842.3,0,0,2745.63,0,0,0,0,0,1223.73,0,11100,0,234,0,0,0,0,0,0,0,0,0,0,0
2024-01-08,0,11578.45,13658.05,27397,2267.71,0,0,767,101.15,864,8063,0,280,1423.75,0,93070.8,6942.6,4001.38,368.29,0,957.5,2012.27,0,0,0,0,0,28.5,0,7400,0,1562,0,0,0,0,0,0,0,0,0,0,0
2024-01-09,0,12184,3258.36,27504,5700,0,245,704,897.3,1908,9695,0,225.99,1252.82,19454,9759.8,1200.5,15267.22,502.35,1040,151.81,59.55,0,0,0,142,0,290.7,0,1110,0,0,0,160,0,0,0,0,0,0,0,0,0
2024-01-10,2001,8993.48,11180.8,30146.2,2105,0,5609.9,0,1487.5,1810.2,17611.25,55.98,840,4303.3,1940.5,5534.38,2047.7,2474.81,703.29,0,0,595.5,0,0,0,0,1624,0,4193,0,0,0,1751,0,0,0,0,0,0,0,0,0,0
2024-01-11,456,137717.15,2929.1,234180.55,1168.44,0,5628.7,5680,2398.5,42474.3,3074,1035.63,641.7,3049.8,9650,51446.2,26.39,1447.58,33.49,0,63.76,435.6,0,0,0,14.2,96,188.1,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0
2024-01-12,114,11403,14487.27,5205,1160.18,2925,1600.5,12336,286,523.6,140394.2,2799,1148,0,1188,6550.45,3743.61,33421.6,3248.53,0,79.5,2211.35,0,8.2,0,2868.4,8,1422.1,698,390,0,0,0,0,1418.95,0,0,0,1192.8,0,0,0,0
2024-01-15,0,8763.2,143766.75,35879,51258.14,30,1468.35,11169.81,2811.2,1159.4,74.7,27.99,0,142965,89605,5959.9,4053.09,746.94,1668,91.8,15.9,424.48,0,0,0,14.2,32,109.83,2094,5550,0,0,122.57,0,0,0,0,0,0,0,0,0,0
