Fecha,ABC.A,BNC,BPV,BVCC,BVL,CIE,CRM.A,DOM,EFE,ENV,FVI.B,GZL,MPA,MVZ.A,MVZ.B,RST,RST.B,TDV.D,TPG,FVI.A,PGR,PTN,BOU,CGQ,FFV.B,FNC,ICP.B,SVS,CCR,PIV.B,PER,ALZ.B,MTC.B,IMP.B,ARC.B,GZL.A,RFM,ARC.A,VNA.B,IMP.A,IVC.A,IVC.B,GMC.B
2024-01-02,0,249.21,147.27,44.27,45.04,2.92,0,49.59,8.86,19.54,54.65,0,14.02,29.78,14.74,680.56,41.49,60.04,4.73,0,14.6,21.74,0,0,0,0,35.78,4.45,0,32.54,0,0,48.67,0,0,0,0,0,0,0,0,0,0
2024-01-03,0,687.4,114.13,73.65,127.75,3.9,0.56,133.31,46.72,338.6,68.76,8.08,2111.32,108.49,2.95,12.31,18.67,468.92,5.6,0,13.33,1.08,0,0,0,0,22.3,0,79.73,0,0,44.16,0,0,0,0,0,0,0,0,0,0,0
2024-01-04,0,504.79,1766.22,72.43,705.85,50.07,0,0,0,8.67,4.18,0,172.19,53.82,143.59,98.89,68.26,51.13,0,0,2,0.55,0,0,0,0,4.85,11.92,55.63,1399.72,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-05,199.33,661.95,196.52,290.24,45.28,22.73,5.55,8.99,5.55,80.43,198.45,23.37,47.4,31.61,19.82,113.33,58.71,197.09,23.38,0,0,76.2,0,0,0,0,0,33.96,0,308.08,0,6.49,0,0,0,0,0,0,0,0,0,0,0
2024-01-08,0,321.53,379.28,760.82,62.97,0,0,21.3,2.81,23.99,223.91,0,7.78,39.54,0,2584.58,192.8,111.12,10.23,0,26.59,55.88,0,0,0,0,0,0.79,0,205.5,0,43.38,0,0,0,0,0,0,0,0,0,0,0
2024-01-09,0,339.01,90.66,765.28,158.6,0,6.82,19.59,24.97,53.09,269.76,0,6.29,34.86,541.29,271.56,33.4,424.8,13.98,28.94,4.22,1.66,0,0,0,3.95,0,8.09,0,30.88,0,0,0,4.45,0,0,0,0,0,0,0,0,0
2024-01-10,55.71,250.38,311.27,839.26,58.6,0,156.18,0,41.41,50.4,490.29,1.56,23.39,119.8,54.02,154.08,57.01,68.9,19.58,0,0,16.58,0,0,0,0,45.21,0,116.73,0,0,0,48.75,0,0,0,0,0,0,0,0,0,0
2024-01-11,12.69,3831.86,81.5,6515.88,32.51,0,156.61,158.04,66.74,1181.81,85.53,28.82,17.85,84.86,268.5,1431.45,0.73,40.28,0.93,0,1.77,12.12,0,0,0,0.4,2.67,5.23,0,0,0,2.45,0,0,0,0,0,0,0,0,0,0,0
2024-01-12,3.17,317.1,402.87,144.74,32.26,81.34,44.51,343.05,7.95,14.56,3904.18,77.84,31.92,0,33.04,182.16,104.1,929.41,90.34,0,2.21,61.49,0,0.23,0,79.77,0.22,39.55,19.41,10.85,0,0,0,0,39.46,0,0,0,33.17,0,0,0,0
2024-01-15,0,243.15,3989.09,995.53,1422.26,0.83,40.74,309.93,78,32.17,2.07,0.78,0,3966.84,2486.27,165.37,112.46,20.73,46.28,2.55,0.44,11.78,0,0,0,0.39,0.89,3.05,58.1,154,0,0,3.4,0,0,0,0,0,0,0,0,0,0
2024-01-16,21.68,2108.36,3588.05,413.01,437.77,3.75,22.49,381.52,37.81,18,407.72,0,19.22,133.21,1130.36,49.14,34.17,151.31,0,0,20.96,62.28,0,0,0,0,11.57,0,15.62,0,0,26.36,45.27,0,0,0,0,0,0,0,0,0,0
2024-01-17,5.55,198.82,3217.74,318.57,5.54,15.4,11.88,532.68,143.37,0,170.93,0,1.55,107.63,101.61,100.78,41.4,93.85,0.9,0,12.13,133.41,0,2.27,0,0.79,2.44,43.48,0,61.44,0,138.42,0,0,0,0,0,0,0,0,0,0,0
2024-01-18,63.59,363.75,1027.01,1263.27,214.11,15.8,81.31,124.17,101.21,1290.73,846.49,0,21.63,997.68,371.25,629.02,620.27,667.2,237.05,3.82,28.39,38.53,0,2.27,0,9.83,1.11,22.73,0,0,0,0,0,0,6.98,0,0,0,0,0,0,0,0
2024-01-19,87.16,474.62,7913.14,1372.96,261.07,0.42,45.6,117.99,74.83,450,193.34,0,128.09,54.84,53.42,1295.46,669.09,48.35,6.29,15.24,1.76,891.53,0,0,0,0,0,20.58,18.54,0,0,19.92,0,0,20638.84,0,0,0,0,0,0,0,0
2024-01-22,0,1318.71,3673.69,1083.76,0,0,7.04,6.64,73.69,0,511.46,0,32.49,195.04,36.93,3609.17,887.22,150.24,8.1,0,582.62,179.51,0,0,0,0,2.21,1.55,91.52,0,0,3.46,0,0,4.53,0,0,0,0,0,0,0,0
2024-01-23,6.92,388.97,851.31,8168.83,830.93,0,0,0,58.53,152.01,911.27,0,9.27,0,2130.43,66.06,285.41,25.33,0,0,0,50.69,0,9.08,0,5.9,0,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-24,49.82,292.31,641.39,976.79,175.44,4.15,138.9,387.9,118.35,141.88,742.25,2.32,0,6.31,198.01,109.57,231.09,1122.28,74.66,0,24.81,24.92,0,0,0,0,0,15.52,139.91,107.94,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-25,365.45,3510.94,365.68,908.39,568.25,0,89.66,448.01,14.06,808.07,943.57,0,0.3,199.57,0,89.8,284.93,123.84,4.5,12.71,70.74,0,0,6.64,0,0,0,7.68,0,0,0,0,0,0,4.53,0,0,0,0,0,0,0,0
2024-01-26,2922.47,778,4986.89,42343.51,7397.43,2.49,1525.12,45920.56,19.17,564.02,243.24,36767.89,21.83,4910.52,678.38,23123.77,50363.3,2597.88,635.2,2567.72,1003.4,281.82,0,38.13,0,1011.76,0,839.03,0,25.75,0,0,0,0,807.99,0,0,0,0,0,0,0,0
2024-01-29,81.77,2844.41,179.53,2294.39,6.22,53.87,34.24,5.56,2.44,11.24,17.47,0,0,207.02,243.01,355.8,315.8,329.57,83.19,0,23.44,180.29,0,0,0,0,17.68,17.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-30,116.01,1016.44,673,14179.91,7.64,42.34,63.31,20.75,15.58,10.23,386.08,0,21.74,391.78,248.13,502.8,255.21,129.67,4.42,78.66,1.31,108.34,0,0,0,0,0,111.03,0,62.26,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-31,0,879.57,1025.29,21627.17,375.48,82.87,67.16,383.16,18.89,201.75,350.86,0,57.09,32.09,138.66,56.13,213.88,716.67,179.56,11.6,41.07,33.03,0,11.33,0,0,0,131.96,0,49.72,0,0,0,526.38,0,0,0,0,481.07,0,0,0,0
2024-02-01,150.53,4563.14,2229.57,175.03,308.22,0.83,18.73,508.38,40.38,371.26,757.5,1.53,0.72,3143.03,45.14,99.93,49.96,105.05,101.6,2.21,22.79,2.97,0,5.45,0,7.86,7.97,4.96,0,75.12,0,0,0,0,4.53,0,0,0,2.77,0,0,0,0
2024-02-02,26.49,2031.68,919.9,1361.59,81.61,10.76,1.03,162.12,10.81,82.98,202.95,7.64,365.1,1.37,167.18,220.3,187.33,688.47,38.63,3.31,48.18,26.67,0,0,0,0,0.88,23.6,0,27.32,0,0,0,0,0,0,0,0,8.49,0,0,0,0
2024-02-05,18.74,117.21,766.81,482.89,786.48,0.83,4.02,173.93,107.67,180.13,294.74,45.63,15.76,82.67,25.57,196.17,156.54,197.31,48.91,0,18.07,1.25,0,0,0,0,0,21.1,0,99.2,0,0,0,0,0,0,0,0,137.78,0,0,0,0
2024-02-06,2.21,838.86,1145.2,78.44,398.17,46.9,0,0,29.54,74.56,541.93,0,20.94,536.01,389.14,152.51,9.94,2921.98,50.07,5.52,74.46,69.52,0,57.31,0,0,0.44,33.52,0,0,0,0,0,0,0,0,0,0,28.69,0,0,0,0
2024-02-07,0,1058.94,2901.78,182.65,55.23,194.47,0.7,126.79,55.84,46988.76,565.52,13.4,0,7173.34,2731.86,774.28,105.54,3278.79,46.25,0,22.85,10.62,0,0,0,13.31,0,182.84,0,979.04,0,8.03,0,0,0,0,0,0,330.94,0,0,0,0
2024-02-08,10.76,1233.47,333.76,45.07,220.54,0,99.34,23398.18,48.26,89.18,513.06,29.79,0,50.15,3.77,355.1,1.9,762.51,72.89,0,6.31,50.68,0,0,0,0,0,0,52.15,0,0,0,0,102.1,0,0,0,0,264.9,0,0,0,0
2024-02-09,3.22,353.75,3258.3,3502.2,65.72,286.8,106.4,1896.17,18.03,317.08,530.45,212.87,3.58,74.91,2.51,172.87,350.27,1133.04,53.07,0,878.66,14.7,0,26.42,0,1.96,0,271.85,0,41.33,0,0,0,0,29.21,0,0,0,62.83,0,0,0,0
2024-02-14,10.88,1202.16,498.86,108.39,128.92,8.26,0.5,671.77,61.92,52.53,100.72,0,34.08,426.46,499.5,201.29,151.6,123.06,37.24,0,0,48.21,0,15.18,0,0,0,27.73,0,523.13,0,10.69,0,0,20.43,0,0,0,0,0,0,0,0
2024-02-15,47.55,298.3,1172.79,826.86,55.06,163.82,7.8,92.39,10.18,24.37,122.83,2.23,71.7,102.07,63.91,44.74,12.83,47.72,59.14,2.2,54.76,20.14,0,0,0,0,0,27.61,17.37,82.74,0,20.53,0,0,48808.36,0,0,0,0,0,0,0,0
2024-02-16,365.04,458.82,415.95,67.37,410.65,0,34.81,337.31,4.12,30.29,477,37.07,2.87,1069.97,71.41,161.39,42.95,1293.36,9.1,55.07,0,4.67,0,0,0,3.11,0,16.21,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0
2024-02-19,445.61,668.75,431.82,315.01,1615.82,0,35.65,326.01,11,471.36,540.38,0,150.02,566.4,81.5,462.96,21.06,252.76,10.89,0,6.44,102.27,0,2.5,0,16.51,0.66,16.15,0,0,0,0,0,0,0,0,0,0,41.28,0,0,0,0
2024-02-20,404.14,418.62,1374.64,2143.87,43.49,16.56,44.46,1017.69,74.34,16.18,314.6,20.7,8.61,122.83,412.69,453.37,457.28,281.68,50.98,0,14.13,722.79,0,0,0,49.67,0,0,0,0,0,0,0,0,8.97,0,0,0,0,0,0,0,0
2024-02-21,373.7,1178.65,277.96,4475.48,2284.12,3.7,118.2,109.46,206.02,2347.2,16674.72,152.78,7.91,233.78,122.59,469.25,648.41,2864.33,0.91,121.82,0,12.36,0,3.84,0,0.77,3.72,274.79,0,0,0,0,0,0,633.18,0,0,0,0,0,0,0,0
2024-02-22,61.57,1529.93,280.35,766.44,317.23,5.8,71.5,103.57,16.53,49.93,53951.31,27.31,0,46.77,0,524.87,48.42,478.09,25.5,49.68,26.1,211.87,0,0,0,0,2.48,0,53926.3,14.35,0,0,0,0,200.84,0,0,0,0,0,0,0,0
2024-02-23,455.72,403.62,135.37,200.98,70.92,34.39,112.65,788.21,37.13,224.04,53241.03,28.07,0,87.61,12.14,86.07,7.23,142.5,7.64,54.51,48.15,254.03,0,3.04,0,2.66,0,16.15,0,0,0,0,0,0,171.09,0,0,0,9.94,0,0,0,0
2024-02-26,273.93,299.59,71.52,250.98,11.81,57.53,10.33,95.44,76.74,411.73,313.63,346.27,32.36,770.72,190.11,58.09,1521.64,51.41,227.55,10.81,23.97,34.77,0,0,0,5.23,10.24,21.97,0,152.76,0,0,0,0,2446.41,0,0,0,0,0,0,0,0
2024-02-27,542.14,3253.09,955.12,152.94,130.2,4.16,34.87,129.91,64,0,322.21,0,1859.31,7.49,30.41,41.45,32.81,28.63,44.13,0,247.31,122.22,0,15.71,0,37.84,6.65,34.6,0,0,0,0,0,0,1046.13,0,0,0,16.63,0,0,0,0
